Date,Forecast,Lower,Upper
2025-01-07,66897.23499547779,64148.792385486726,69434.86941833365
2025-01-08,66913.34165376617,63933.07307770789,69518.02770168526
2025-01-09,66923.40709147592,64267.21369634168,69638.12670693443
2025-01-10,66925.15065961846,64087.8723401883,69654.91303184288
2025-01-11,66934.48184397828,64219.9846518976,69584.44380081815
2025-01-12,66941.35704365719,64297.72613856555,69510.99999407394
2025-01-13,66970.1913856259,64301.867286894565,69738.30984502657
2025-01-14,66979.2877966891,64205.81248681336,69594.5592919723
2025-01-15,66990.47894727252,64385.92771565643,69596.1562794697
2025-01-16,66996.15783774317,64126.38035813123,69604.79075469822
2025-01-17,66994.15267958595,64552.806550822825,69853.90264502076
2025-01-18,67000.46378194816,64350.65121193526,69524.73359167385
2025-01-19,67005.11840200711,64284.55815096818,69600.23702421706
2025-01-20,67032.58119218529,64304.65234812391,69573.39209655751
2025-01-21,67041.18249101806,64477.87214190039,69846.80725825988
2025-01-22,67052.76008080987,64250.31997882569,69574.82555032508
2025-01-23,67059.6901748798,64330.570192685766,69739.11994340392
2025-01-24,67059.7632626673,64295.56809481328,69723.36136323304
2025-01-25,67068.92248398293,64344.640386689316,69739.1744649421
2025-01-26,67077.12043783865,64567.21721471579,69711.18857003492
2025-01-27,67108.73199382334,64543.932279790366,69681.97490810641
2025-01-28,67121.98527781392,64544.531207511274,69889.08561075601
2025-01-29,67138.60637252212,64268.18207483462,69730.87927768512
2025-01-30,67150.85340793895,64200.86077868211,69881.54522961713
2025-01-31,67156.39557973668,64350.83466834405,69725.09353053669
2025-02-01,67171.05467688847,64365.5170224351,69994.78547847466
2025-02-02,67184.66493671271,64728.47875528611,70021.08768521066
2025-02-03,67221.48871335956,64451.90201829006,69927.21058611429
2025-02-04,67239.65005715922,64507.75292369529,69948.38291852876
2025-02-05,67260.78168055862,64454.134501692104,70048.24950621749
2025-02-06,67277.06093224653,64657.34466282986,70105.1575716384
2025-02-07,67286.09027672184,64701.46603830888,70117.53960593429
2025-02-08,67303.6398333611,64622.545005031825,69942.7818641769
2025-02-09,67319.50778011106,64511.47551468565,69862.65813808095
2025-02-10,67357.93610895319,64649.405981696844,70005.7995562667
2025-02-11,67377.04384556122,64491.33676534767,70017.2930742263
2025-02-12,67398.47323699089,64596.4985236719,69860.14656321252
2025-02-13,67414.42456908498,64673.1479579398,70141.64328020645
2025-02-14,67422.53516141462,64535.34252970105,70001.80694880585
2025-02-15,67438.62015306982,64748.45287037447,70143.86493532134
2025-02-16,67452.53095035107,64705.526788225434,70088.85659178201
2025-02-17,67488.5688939035,64827.173037340304,70311.19621130619
2025-02-18,67504.91633026699,64680.77573937633,70271.3733673343
2025-02-19,67523.28066406139,64704.2513979273,70093.15316441839
2025-02-20,67535.92712239256,64992.915389885675,70128.66936652486
2025-02-21,67540.55584453966,65169.07205909733,70221.48549361136
2025-02-22,67553.04096880162,65195.567846419945,70238.90821942089
2025-02-23,67563.28763767002,65030.5874471245,70379.20871967766
2025-02-24,67595.64451905435,64981.825083057614,70209.77764696351
2025-02-25,67608.33405763446,64654.54324321898,70282.10691377924
2025-02-26,67623.0960497966,65012.73340463809,70323.21656486875
2025-02-27,67632.22027871905,64828.94136767263,70252.95536056987
2025-02-28,67633.42381539359,65114.01566429081,70333.95378058677
2025-03-01,67642.59063832881,65115.14625632975,70283.0148200463
2025-03-02,67649.62946289736,64996.8250183046,70214.0803429294
2025-03-03,67678.88733789582,64986.814113183995,70289.25282629258
2025-03-04,67688.5811747365,64822.11524132863,70310.52182494084
2025-03-05,67700.44274728034,65020.52162571407,70276.6716439671
2025-03-06,67706.75283856776,65029.560995258704,70541.63961897622
2025-03-07,67705.22007712867,65242.30901032422,70465.52110737788
2025-03-08,67711.72205188795,64790.79677972556,70409.10025196002
2025-03-09,67716.1645344321,65094.95088451911,70398.43976492477
2025-03-10,67742.89630767307,64955.68106148242,70387.01087540062
2025-03-11,67750.14171345279,64975.713949607525,70574.06339647542
2025-03-12,67759.6464116915,65302.91026608407,70420.27780390694
